ODF25 Comdty,ODF27 Comdty,GOOG Equity,GOOGL Equity,PETR4 Equity
15.74,,30.599,32.008,6.82
16.36,,29.745,31.213,6.44
16.09,,29.749,31.131,6.59
15.57,,30.421,31.919,7.24
15.62,,30.565,32.1,7.02
15.23,,31.345,32.85,7.77
15.29,,32.074,33.584,7.82
15.25,,32.272,33.582,8.19
15.55,,32.118,33.5,8.47
15.37,,31.958,33.35,8.75
15.66,,32.181,33.562,8.8
,,32.334,33.822,
15.94,,32.615,34.159,8.13
15.95,,32.558,34.021,7.96
15.75,,33.087,34.651,8.0
15.8,,33.11,34.766,7.95
15.84,,33.305,34.998,7.95
15.81,,32.514,34.0,8.05
15.83,,32.13,33.59,7.75
15.86,,32.59,34.057,8.02
15.99,,35.1,35.967,7.99
15.95,,35.639,36.556,7.85
15.77,,35.425,36.641,7.6
15.89,,35.648,36.846,7.7
15.97,,35.846,37.243,7.61
15.99,,35.54,36.87,7.71
,,36.056,37.387,
15.78,,36.108,37.441,8.48
15.59,,36.406,37.765,8.08
15.61,,36.563,38.034,8.11
15.67,,36.688,38.08,7.82
15.75,,36.245,37.739,7.64
15.74,,36.416,37.913,7.61
15.6,,36.77,38.263,7.72
15.55,,36.562,37.826,7.58
15.59,,35.85,37.004,7.27
15.56,,36.448,37.521,7.7
15.58,,36.265,37.299,7.76
15.49,,37.0,38.001,7.82
15.26,,36.921,37.997,7.84
,,37.83,38.85,
15.22,,37.799,38.835,8.08
15.24,,37.414,38.482,8.5
15.51,,37.408,38.463,7.9
15.59,,,,7.92
15.86,,37.513,38.599,7.6
15.9,,37.13,38.143,7.67
15.75,,38.352,39.189,7.49
15.65,,38.119,38.893,7.52
15.69,,37.627,38.41,7.98
15.63,,38.341,38.961,7.52
15.75,,38.163,38.65,7.19
15.7,,38.119,38.757,7.13
15.61,,37.581,38.128,7.65
15.78,,37.473,38.002,7.45
15.92,,36.944,37.521,7.25
15.97,,37.389,38.127,7.21
15.98,,37.17,38.005,7.42
16.16,,37.905,38.83,7.29
15.98,,37.472,38.492,7.2
16.19,,36.966,37.843,7.02
16.43,,37.389,38.04,6.64
16.45,,37.5,38.357,6.79
16.37,,37.515,38.426,6.93
,,37.42,38.292,
16.45,16.43,38.126,39.112,6.7
16.47,16.45,38.83,39.698,6.69
16.57,16.55,38.55,39.515,6.7
,,37.944,38.901,
16.47,16.45,37.092,37.972,6.87
16.12,16.1,37.129,38.076,6.68
16.01,15.99,37.181,37.967,6.4
16.2,16.18,36.32,37.05,6.26
16.28,16.26,35.724,36.546,6.27
16.28,16.33,35.802,36.654,6.09
16.28,16.31,36.304,37.267,5.53
16.28,16.32,35.028,35.979,5.27
16.4,16.43,35.736,36.57,5.69
16.49,16.52,34.723,35.525,5.17
16.41,16.44,,,4.8
16.65,16.7,35.09,35.954,4.66
16.78,16.82,34.923,35.928,4.43
16.83,16.93,35.33,36.334,4.5
16.87,17.0,36.263,37.273,4.41
,,35.584,36.681,
16.63,16.77,35.652,36.689,4.2
16.74,16.93,35.0,35.879,4.57
16.5,16.7,36.548,37.415,4.6
16.25,16.45,37.148,38.068,4.84
15.97,16.2,37.6,38.539,4.72
16.18,16.41,38.233,39.046,4.3
16.07,16.28,36.348,37.469,4.49
16.28,16.5,35.401,36.502,4.73
16.25,16.5,34.179,35.188,4.54
,,34.137,35.208,
,,33.906,35.051,
16.22,16.48,34.206,35.343,4.31
16.37,16.6,34.156,35.318,4.23
16.33,16.57,34.12,35.345,4.45
16.27,16.48,,,4.52
16.37,16.62,34.55,35.882,4.44
16.19,16.42,35.42,36.599,4.68
16.2,16.44,34.868,35.876,4.59
16.05,16.28,35.046,36.106,4.46
15.79,16.0,35.323,36.453,5.04
15.99,16.23,34.793,35.865,4.92
15.97,16.2,34.978,36.045,4.87
16.14,16.39,35.288,36.456,4.89
16.19,16.42,35.254,36.243,4.87
16.13,16.36,34.889,35.861,5.14
15.93,16.15,35.941,37.109,5.31
15.79,15.99,35.943,36.974,5.65
15.48,15.68,35.621,36.58,6.57
14.98,15.15,35.545,36.511,7.22
15.22,15.4,34.758,35.64,7.37
15.05,15.25,34.699,35.677,7.47
14.79,15.0,35.262,36.271,7.6
14.65,14.79,35.641,36.609,7.95
14.56,14.65,36.341,37.244,8.09
14.55,14.69,36.525,37.512,7.4
14.95,15.08,36.417,37.529,6.61
14.93,15.03,36.805,37.868,7.23
14.35,14.43,36.889,37.924,8.1
14.33,14.45,36.88,37.771,8.12
14.18,14.31,37.105,38.108,8.06
13.95,14.1,37.038,38.003,8.11
14.26,14.37,36.903,37.878,7.78
14.42,14.54,36.765,37.742,7.81
14.11,14.24,36.677,37.664,8.44
13.84,13.95,37.239,38.295,8.49
13.93,14.0,37.527,38.417,8.44
14.19,14.25,37.248,38.145,8.35
14.01,14.04,37.496,38.484,8.36
14.28,14.37,37.265,38.256,7.58
14.27,14.37,36.89,37.929,7.83
14.45,14.52,37.285,38.404,7.58
14.43,14.5,37.014,38.006,7.7
14.08,14.15,36.957,37.974,8.26
13.86,13.93,36.805,37.877,8.39
13.72,13.75,37.155,38.216,9.03
13.34,13.36,37.586,38.596,9.51
13.27,13.29,37.66,38.77,9.16
13.24,13.24,37.95,39.0,9.69
13.13,13.16,38.331,39.384,9.24
13.16,13.2,37.697,38.813,9.62
13.15,13.19,37.634,38.746,9.48
,,37.957,39.0,
13.17,13.215,35.939,36.889,9.75
13.0,13.04,36.158,37.111,9.33
12.98,13.02,35.407,36.269,9.67
12.78,12.82,35.292,36.073,10.25
12.94,12.98,34.551,35.253,10.23
12.62,12.66,34.651,35.394,10.23
12.61,12.64,34.911,35.721,10.17
12.68,12.68,34.618,35.422,9.78
12.85,12.88,34.785,35.569,9.92
12.74,12.76,35.072,35.736,9.81
12.8,12.82,35.556,36.259,10.08
12.93,12.95,35.645,36.457,9.48
12.65,12.67,36.159,36.969,10.21
12.48,12.5,35.765,36.527,10.25
12.35,12.36,35.665,36.404,9.79
12.37,12.41,35.542,36.242,9.46
12.46,12.51,35.825,36.515,9.75
12.6,12.64,35.312,36.01,9.5
12.91,12.95,35.332,36.089,9.32
12.78,12.83,35.016,35.765,8.96
12.61,12.64,35.487,36.086,8.9
12.9,12.98,35.212,35.863,8.5
12.87,12.94,36.005,36.652,8.53
12.99,13.03,36.264,36.905,8.67
,,36.206,36.847,
13.18,13.21,36.633,37.38,8.23
13.02,13.05,,,8.38
13.12,13.17,36.786,37.443,8.04
13.09,13.13,36.707,37.423,8.18
12.93,12.99,36.52,37.213,8.4
12.71,12.76,36.117,36.793,8.57
12.58,12.63,35.828,36.503,8.46
12.65,12.7,35.832,36.555,8.62
12.58,12.63,36.414,37.146,9.39
12.61,12.65,36.429,37.126,9.18
12.84,12.87,35.971,36.66,8.78
12.89,12.94,35.918,36.594,8.62
12.95,13.01,35.914,36.663,8.3
13.01,13.08,35.946,36.61,8.51
13.05,13.13,35.518,36.213,8.5
12.97,13.03,34.586,35.213,8.95
12.92,12.99,34.686,35.307,9.18
12.79,12.87,34.797,35.444,9.53
12.79,12.85,34.873,35.524,9.34
12.67,12.73,35.094,35.744,9.67
12.72,12.77,33.761,34.26,9.25
12.54,12.61,33.413,34.057,8.78
12.3,12.38,34.002,34.563,9.2
12.39,12.49,34.206,34.76,9.5
12.31,12.39,34.605,35.177,9.42
12.41,12.49,34.961,35.513,9.82
12.3,12.38,,,9.87
12.43,12.51,34.725,35.245,9.29
12.49,12.57,34.889,35.449,9.5
12.44,12.52,34.768,35.363,9.56
12.22,12.31,35.282,35.889,9.84
12.19,12.27,35.755,36.36,10.36
12.28,12.37,36.032,36.626,10.65
12.19,12.28,35.849,36.474,10.63
12.14,12.23,36.048,36.79,10.93
12.08,12.17,35.993,36.782,11.02
12.07,12.14,36.689,37.66,11.55
12.12,12.19,36.848,37.671,11.78
12.0,12.05,37.06,37.854,11.82
12.06,12.1,36.932,37.721,11.85
12.14,12.22,37.137,37.964,11.94
12.18,12.24,36.989,37.876,12.03
12.12,12.2,36.921,37.883,11.88
12.12,12.18,37.088,38.099,11.51
12.11,12.16,37.296,38.292,11.44
12.04,12.09,38.439,39.567,11.87
11.99,12.04,38.644,40.047,11.25
12.13,12.18,38.554,40.006,11.36
12.15,12.21,38.659,39.946,11.9
12.05,12.12,38.581,39.863,12.01
11.98,12.05,39.111,40.347,11.65
12.07,12.14,39.088,40.262,11.91
11.97,12.04,39.213,40.374,11.88
11.99,12.05,39.234,40.425,11.56
12.02,12.1,39.243,40.41,12.1
12.03,12.13,39.161,40.353,12.0
11.98,12.06,39.122,40.298,12.31
11.94,12.01,38.857,40.06,12.49
11.97,12.05,38.996,40.271,12.76
12.04,12.12,38.875,40.138,12.88
11.97,12.05,38.771,39.983,12.79
12.01,12.08,38.608,39.848,12.35
12.1,12.18,38.604,39.83,12.67
12.12,12.21,38.482,39.68,12.4
12.12,12.2,38.471,39.565,12.53
12.35,12.43,38.477,39.661,12.55
12.22,12.29,38.608,39.791,12.87
12.31,12.39,38.455,39.596,13.09
12.19,12.28,38.353,39.493,12.85
12.16,12.23,38.439,39.57,13.0
12.08,12.17,38.573,39.844,13.57
12.13,12.23,,,13.83
12.11,12.21,39.004,40.401,13.98
,,39.018,40.4,
12.14,12.24,38.766,40.142,14.22
12.38,12.46,37.983,39.424,13.51
12.29,12.38,38.451,39.941,13.95
12.54,12.64,37.985,39.436,13.01
12.55,12.64,38.125,39.523,13.11
12.43,12.52,38.588,40.062,13.51
12.38,12.46,38.444,39.899,13.16
12.39,12.48,38.285,39.77,13.05
12.35,12.44,38.57,39.989,13.5
12.15,12.23,38.811,40.252,13.66
11.96,12.05,39.361,40.798,14.0
11.96,12.05,39.345,40.748,13.69
11.99,12.11,38.711,40.133,13.4
11.83,11.94,39.151,40.537,13.12
11.74,11.83,39.078,40.503,13.85
11.79,11.9,38.751,40.132,13.43
11.72,11.79,38.865,40.203,13.57
11.56,11.65,38.628,40.019,13.97
11.71,11.81,38.822,40.14,14.02
11.52,11.65,38.824,40.062,14.58
11.56,11.66,38.843,40.154,15.1
11.51,11.63,38.754,40.036,15.26
11.44,11.54,39.297,40.709,15.73
11.48,11.57,39.154,40.479,15.39
,,39.307,40.588,
11.49,11.6,38.91,40.204,15.76
11.49,11.61,38.927,40.23,16.26
11.44,11.55,38.998,40.342,16.9
11.36,11.47,39.763,41.075,17.42
11.22,11.33,40.078,41.355,17.62
11.14,11.23,39.849,41.082,17.74
11.28,11.35,39.969,41.203,17.95
11.17,11.24,40.656,41.787,18.2
11.23,11.3,40.384,41.427,18.0
11.34,11.43,39.954,41.105,18.1
11.45,11.54,39.768,40.868,18.09
11.46,11.57,39.769,40.978,18.09
11.45,11.55,39.227,40.495,17.69
11.59,11.68,39.181,40.274,16.86
,,38.435,39.421,
11.65,11.75,38.107,39.11,16.13
11.54,11.63,38.101,39.055,15.99
11.43,11.51,39.126,40.102,17.21
11.34,11.4,39.526,40.599,17.04
11.6,11.69,39.265,40.28,16.65
12.05,12.14,38.128,39.015,15.5
12.12,12.19,37.701,38.588,14.01
12.5,12.54,36.804,37.661,14.0
,,37.925,38.758,
12.17,12.19,38.224,38.999,14.74
12.3,12.36,38.562,39.308,14.29
12.29,12.37,38.027,38.799,14.52
12.05,12.14,38.46,39.24,15.58
12.03,12.09,38.414,39.25,15.93
12.04,12.1,38.05,38.95,15.85
12.09,12.16,,,15.58
12.29,12.375,38.084,39.012,15.3
12.14,12.22,38.412,39.29,15.46
12.09,12.16,38.542,39.472,14.66
12.01,12.07,37.902,38.794,16.0
12.52,12.55,37.396,38.217,15.44
12.6,12.62,37.525,38.223,15.83
12.3,12.33,38.126,38.911,15.66
12.36,12.41,37.956,38.809,16.15
12.26,12.3,38.56,39.574,15.86
12.04,12.07,38.821,39.759,15.7
12.1,12.16,39.465,40.473,15.58
12.16,12.21,39.463,40.395,15.6
12.21,12.26,39.805,40.767,15.45
12.2,12.24,39.854,40.895,14.74
12.31,12.36,39.893,40.783,14.85
12.22,12.26,39.54,40.492,14.76
12.18,12.22,39.71,40.625,14.36
